"subject.id"	"activity"	"fBodyAcc.mean().X"	"fBodyAcc.mean().Y"	"fBodyAcc.mean().Z"	"fBodyAcc.std().X"	"fBodyAcc.std().Y"	"fBodyAcc.std().Z"	"fBodyAccJerk.mean().X"	"fBodyAccJerk.mean().Y"	"fBodyAccJerk.mean().Z"	"fBodyAccJerk.std().X"	"fBodyAccJerk.std().Y"	"fBodyAccJerk.std().Z"	"fBodyAccMag.mean()"	"fBodyAccMag.std()"	"fBodyBodyAccJerkMag.mean()"	"fBodyBodyAccJerkMag.std()"	"fBodyBodyGyroJerkMag.mean()"	"fBodyBodyGyroJerkMag.std()"	"fBodyBodyGyroMag.mean()"	"fBodyBodyGyroMag.std()"	"fBodyGyro.mean().X"	"fBodyGyro.mean().Y"	"fBodyGyro.mean().Z"	"fBodyGyro.std().X"	"fBodyGyro.std().Y"	"fBodyGyro.std().Z"	"tBodyAcc.mean().X"	"tBodyAcc.mean().Y"	"tBodyAcc.mean().Z"	"tBodyAcc.std().X"	"tBodyAcc.std().Y"	"tBodyAcc.std().Z"	"tBodyAccJerk.mean().X"	"tBodyAccJerk.mean().Y"	"tBodyAccJerk.mean().Z"	"tBodyAccJerk.std().X"	"tBodyAccJerk.std().Y"	"tBodyAccJerk.std().Z"	"tBodyAccJerkMag.mean()"	"tBodyAccJerkMag.std()"	"tBodyAccMag.mean()"	"tBodyAccMag.std()"	"tBodyGyro.mean().X"	"tBodyGyro.mean().Y"	"tBodyGyro.mean().Z"	"tBodyGyro.std().X"	"tBodyGyro.std().Y"	"tBodyGyro.std().Z"	"tBodyGyroJerk.mean().X"	"tBodyGyroJerk.mean().Y"	"tBodyGyroJerk.mean().Z"	"tBodyGyroJerk.std().X"	"tBodyGyroJerk.std().Y"	"tBodyGyroJerk.std().Z"	"tBodyGyroJerkMag.mean()"	"tBodyGyroJerkMag.std()"	"tBodyGyroMag.mean()"	"tBodyGyroMag.std()"	"tGravityAcc.mean().X"	"tGravityAcc.mean().Y"	"tGravityAcc.mean().Z"	"tGravityAcc.std().X"	"tGravityAcc.std().Y"	"tGravityAcc.std().Z"	"tGravityAccMag.mean()"	"tGravityAccMag.std()"
"1"	1	"LAYING"	-0.610421775841177	-0.632716853870588	-0.652956102163958	-0.676815841803922	-0.65479322562549	-0.696034783358333	-0.681990739294118	-0.692520221333333	-0.76067471350625	-0.652806111960784	-0.673289881372549	-0.756457708416667	-0.63058715227451	-0.605671001537255	-0.64556192858125	-0.644750484137255	-0.705636727239216	-0.709716448627451	-0.655609921811765	-0.714627324375	-0.674465962196078	-0.660661330764706	-0.654684835614583	-0.655546406784314	-0.657816800023529	-0.67215999220625	-0.7459519063125	-0.708063260441765	-0.675820196529412	-0.738020373120833	-0.67708410254902	-0.667916686986274	-0.686983716445833	-0.703625341968627	-0.713252257909804	-0.738205707429167	-0.695822863647059	-0.715646759003922	-0.66107915002549	-0.661735027439216	-0.740464941985417	-0.705526068758824	-0.7395031536875	-0.661903157039216	-0.663111738039216	-0.7283049736875	-0.65414952827451	-0.64930337762098	-0.68025227825	-0.701316000875098	-0.672780898405098	-0.716126006675	-0.705374231882353	-0.700319765275098	-0.617190054831373	-0.64159448150625	-0.7051656003125	-0.650470746668627	-0.682294192426875	-0.673973616905882	-0.656183585094118	-0.68599939110625	-0.665476278047059	-0.664289591990196	-0.689051634941176	-0.747561429166667
"2"	1	"SITTING"	-0.780541684511111	-0.7670598701875	-0.768839725395833	-0.722299714311111	-0.735889347516667	-0.739098831	-0.715548894324444	-0.714393841002083	-0.733606869625	-0.727410759848889	-0.743666342965208	-0.758487265289583	-0.783722968388889	-0.7756120833625	-0.7820488059375	-0.729328096482222	-0.748698060335556	-0.734160698985417	-0.756233930510417	-0.763317372770833	-0.795404689677111	-0.776556810152083	-0.78363425840625	-0.799406149614	-0.793489283214583	-0.791937309014583	-0.745552124145833	-0.76356429626	-0.75852799409375	-0.7594827423	-0.719310058666667	-0.72121272425	-0.685563643833333	-0.664056300984444	-0.679183263916667	-0.686908987354167	-0.683560500133333	-0.695883813791667	-0.738943117266667	-0.7570599100625	-0.672802764989583	-0.657118308568889	-0.696587491841667	-0.701454038364444	-0.716643477395833	-0.7132286599375	-0.669537908253333	-0.662881452166667	-0.674956112395833	-0.634934595688889	-0.650545060075	-0.65533645528125	-0.635430845811111	-0.669893854085417	-0.78434457225	-0.7916383030625	-0.767849941791667	-0.759844628733333	-0.730973780083333	-0.656302047177778	-0.6963503190625	-0.725324036752083	-0.668249639162222	-0.671377125229167	-0.697605443125	-0.69804054517625
"3"	1	"STANDING"	-0.735353734387037	-0.740721679098039	-0.742614444022185	-0.737450651913519	-0.722791985635294	-0.715821593222222	-0.717259394518519	-0.722824087786274	-0.730793751074074	-0.705284279768518	-0.709307030852941	-0.728250927827778	-0.739220747262963	-0.74272211127451	-0.734674138314815	-0.720498110462963	-0.706365810866667	-0.7213167021	-0.700815208290196	-0.700519400333333	-0.712206310833333	-0.729410710754902	-0.738144189585185	-0.723271758974074	-0.728529318368627	-0.717714969522222	-0.739858605481482	-0.721164802892593	-0.71378676640549	-0.729189460848148	-0.75518065422963	-0.762649782884314	-0.78803167892037	-0.790497768901852	-0.775028339352941	-0.773003597718519	-0.772022266414815	-0.780465316098039	-0.733433754494444	-0.732855730254902	-0.790862568048148	-0.770618045843148	-0.787964851877778	-0.774321233509259	-0.780986063909804	-0.762409572403704	-0.803888853911111	-0.811802299105882	-0.796471757803704	-0.816654886555556	-0.801421765794118	-0.783784678461111	-0.804009773609259	-0.799012847154902	-0.730723790080392	-0.713480636718518	-0.745715881574074	-0.729536721592593	-0.77476142990537	-0.793709889968759	-0.782751239107843	-0.774785553451574	-0.807109864001667	-0.793482241630784	-0.75601934554902	-0.747079730068518
"4"	1	"WALKING"	-0.201256233521875	-0.177755322027083	-0.189778570653763	-0.191464016414583	-0.191249496136458	-0.17848674044086	-0.161966586062292	-0.1777551443475	-0.198137972783871	-0.17191055815625	-0.17670624535625	-0.170636006623656	-0.2011876364375	-0.192019788455208	-0.213156766888172	-0.2269000730375	-0.2083920285	-0.184199608724167	-0.19902910035	-0.191581524541935	-0.18075168259375	-0.187465090336458	-0.202611594354839	-0.203169058898958	-0.201457641170833	-0.211481343903226	-0.197140301680645	-0.189170842970833	-0.179103661271667	-0.187392778095699	-0.188276110759375	-0.186780592209375	-0.193136763477419	-0.190285294080208	-0.178219543402083	-0.167530922121505	-0.186206642152187	-0.204887120812187	-0.197822916347917	-0.19638409030625	-0.193705328901075	-0.207465907339583	-0.202752535497849	-0.196752428794896	-0.189719183332292	-0.190445377737634	-0.197333982315625	-0.209937420589583	-0.206491445176344	-0.208998606332813	-0.218510567756677	-0.21786519972043	-0.213825106389687	-0.218079493772917	-0.202024710176458	-0.205200957752688	-0.193471533582796	-0.206719546564583	-0.181308309889247	-0.173405636290729	-0.177033936547917	-0.16226370178172	-0.174517674616667	-0.184963965739583	-0.211850074458333	-0.173308995407527
"5"	1	"WALKING_DOWNSTAIRS"	-0.172882969279167	-0.200398666602083	-0.237982099532353	-0.224090387229167	-0.1678509055875	-0.142829975862745	-0.0987860387833333	-0.111577431139583	-0.136877676087059	-0.12225763425	-0.138460636929167	-0.142514199235294	-0.11573198850625	-0.118402156126458	-0.143175122411765	-0.08210926000625	-0.1288469029	-0.101312677979167	-0.09971931545	-0.127076716413725	-0.0946524765958333	-0.0724623090145833	-0.0892417749568627	-0.11295944550625	-0.0926746357395833	-0.0818241223333333	-0.131619417837255	-0.166332310833333	-0.1513217201	-0.171621090743137	-0.210266257416667	-0.190076766897917	-0.206419894636863	-0.193559804802083	-0.182764304533333	-0.191452844645098	-0.208269877488125	-0.1898564451	-0.194173424339583	-0.146381930458333	-0.0781957390166667	-0.067670012175	-0.16322712818	-0.179296909939583	-0.208851407995833	-0.183318074635294	-0.15744659736875	-0.143342399229771	-0.151290449284314	-0.15137658709375	-0.1554774063125	-0.110396330752941	-0.11202568875625	-0.104932411314583	-0.12863221309375	-0.126214152262745	-0.154199348254902	-0.1481813081125	-0.195993605352941	-0.18991695575	-0.185946002075	-0.189427431160784	-0.2268550574625	-0.19943542005625	-0.0806695071104167	-0.171938636317647
"6"	1	"WALKING_UPSTAIRS"	-0.283655830518519	-0.308123791291111	-0.273536706960784	-0.34195069847963	-0.329171595172222	-0.32756976784902	-0.377775421407407	-0.380113066990741	-0.350178035882353	-0.379344379314815	-0.382153444557407	-0.343854650831373	-0.352637245927778	-0.339534726314815	-0.343681930654902	-0.342101500538889	-0.348543900096296	-0.382294550075926	-0.349214442222222	-0.351830683486274	-0.338958430659259	-0.350064223092593	-0.321118037727451	-0.350871153518519	-0.359961608125926	-0.355953580843137	-0.339825982343137	-0.3404523575	-0.335169884759259	-0.32078379014902	-0.314706451166667	-0.310492685783333	-0.278840733098039	-0.281474762425926	-0.286275620274074	-0.267239344588235	-0.269266677994444	-0.279918980681481	-0.301192115592593	-0.298368476240741	-0.305741562107843	-0.290563099849444	-0.244001174333333	-0.279432666962963	-0.28765763097963	-0.295775102782353	-0.286010327462963	-0.291597135266481	-0.271672589319608	-0.297499557759259	-0.308156987259259	-0.292435424552941	-0.304292518074074	-0.321447895390741	-0.306978629201852	-0.279010012192157	-0.291111926688235	-0.310353862603704	-0.284422576372549	-0.29205378367963	-0.31141278792963	-0.304921772956863	-0.283130350042593	-0.279988422312963	-0.298043573814815	-0.295282149513726
"7"	2	"LAYING"	-0.8148457892875	-0.814322163120833	-0.8125429338125	-0.788267684689583	-0.77324584878125	-0.769290142708333	-0.752029814377083	-0.739192941764583	-0.74860006958125	-0.742086003264583	-0.778043982775208	-0.784755247130417	-0.80826908875	-0.79143811753125	-0.782484809133333	-0.74631010241875	-0.71090544469375	-0.701450546752083	-0.7350815856675	-0.735284809177083	-0.804233765485417	-0.8418232667	-0.83506643188125	-0.828181438897917	-0.83113058508125	-0.838265565858333	-0.708308582716667	-0.7102050339375	-0.73812064903125	-0.739209832595833	-0.7532013611875	-0.750345240670833	-0.680566266145833	-0.668170471375	-0.6475006233125	-0.650200222979167	-0.660484707520833	-0.669760338	-0.718188104395833	-0.75590374265	-0.679716535520833	-0.664734203891667	-0.671240886833333	-0.70002972525	-0.7202313160625	-0.723435229125	-0.7391434318125	-0.754931038708333	-0.753415665979167	-0.7455550955	-0.7161865835	-0.708536603791667	-0.685764483	-0.684149747125	-0.810127420310417	-0.815086298670833	-0.760299434741667	-0.795209516260417	-0.757563229270833	-0.769877973833333	-0.747015133279167	-0.746670424208333	-0.699971754895833	-0.674244371666667	-0.67901611515625	-0.6869001392
"8"	2	"SITTING"	-0.71251651626875	-0.719631496615556	-0.71947354004	-0.713423445258333	-0.715546467502222	-0.716344502268889	-0.75663407848125	-0.756979082644444	-0.761717502895556	-0.7310885290625	-0.717588150955556	-0.700553786688889	-0.6589745688125	-0.655567582644444	-0.645239568711111	-0.68870867645625	-0.7284527555	-0.740025094644444	-0.696500246577778	-0.691425003822222	-0.682531368291667	-0.668369211044444	-0.68690432844	-0.6748193164375	-0.6427373656	-0.6341037956	-0.750383056822222	-0.717136121791667	-0.699274009688889	-0.695626002191111	-0.68202169731875	-0.684678060044444	-0.756662378937111	-0.781034736970833	-0.797320416931111	-0.800988208224444	-0.809065001410625	-0.820493728235556	-0.8086761522875	-0.790729854888889	-0.83119520098	-0.828846626875	-0.817721989244445	-0.796038346169583	-0.772242459333333	-0.754760622888889	-0.755055062291667	-0.777889602989778	-0.75546911174	-0.763477307191667	-0.772639281493333	-0.745776373975556	-0.806014137522917	-0.826132706402222	-0.745416263151111	-0.727399661133333	-0.765981748122222	-0.747467565418958	-0.675013564584444	-0.694204831622292	-0.691095343675556	-0.685701699382222	-0.726947323258208	-0.747629425326222	-0.826199414988889	-0.81688527516
"9"	2	"STANDING"	-0.709965755176471	-0.723630421437037	-0.724166875403509	-0.727676056962745	-0.711118881981482	-0.720084507735088	-0.693348254339216	-0.701400957751852	-0.713741181868421	-0.7382987162	-0.730181023472222	-0.745750212452632	-0.794711606607843	-0.79012100057963	-0.783728594217544	-0.781033730196078	-0.762330525126078	-0.762512009333333	-0.776108158825926	-0.79056556045614	-0.745504162454902	-0.757898013796296	-0.757849821042105	-0.793241977252941	-0.79583825387037	-0.794156948526316	-0.750663226315789	-0.77365753545098	-0.771115022333333	-0.762679109963158	-0.760856043864902	-0.776855537248148	-0.770124750263158	-0.743814184627451	-0.736040187033333	-0.747077831290175	-0.71958593254902	-0.72107633702963	-0.697524166745098	-0.697441660194444	-0.719624979561403	-0.713066521294118	-0.703024784959649	-0.708073378066667	-0.701584753612963	-0.710681766536842	-0.713027583441176	-0.726026995325926	-0.719485935280702	-0.729904622607843	-0.721638715444444	-0.730685676614035	-0.703082258960784	-0.699841211166667	-0.710788947924074	-0.706121168929825	-0.691688146719298	-0.70989946754902	-0.757309959333333	-0.781584265017843	-0.791593860027778	-0.79175933122807	-0.765050672082353	-0.776412805148148	-0.698112724942593	-0.702901178342105
"10"	2	"WALKING"	-0.285327632784211	-0.26598741344	-0.260562981512	-0.279142546221053	-0.28496092149	-0.2958571153	-0.312440057508772	-0.291386731	-0.30022360759	-0.296672081947368	-0.310284219091667	-0.307465333333333	-0.330998360070175	-0.3334149203	-0.333740455715	-0.357398621859649	-0.376348137140351	-0.366829427816667	-0.37338524955	-0.362658190216667	-0.303097660408772	-0.309956519183333	-0.305456548966667	-0.292100801087719	-0.3100161589	-0.32041288609	-0.368417225616667	-0.397986550614035	-0.395057294983333	-0.377737824016667	-0.362329385561403	-0.361637173543333	-0.3690199041	-0.358362330824561	-0.370879235795	-0.358753888231667	-0.362106923175439	-0.39023201015	-0.285243854538596	-0.285177401333333	-0.302974344652333	-0.284331407340351	-0.374987918583333	-0.339201855736842	-0.330265175801167	-0.321242670916667	-0.324700964631579	-0.320449050611667	-0.311012026735	-0.294410256333333	-0.304275302058333	-0.30833461765	-0.296139913279649	-0.281066556674	-0.2794720361	-0.284826983183333	-0.291910744226667	-0.274499131266667	-0.341099771366667	-0.337013533570175	-0.36825452395	-0.354629668883333	-0.389518379807018	-0.3924161524125	-0.284348799016667	-0.278109747761667
